Enroll,Age,Income,Hours
1,26,18000,14
0,43,13000,9
1,55,42000,16
1,55,100000,13
0,55,13000,12
1,63,170000,11
1,29,55000,4
0,25,24000,12
0,34,21000,12
1,64,19000,7
0,22,13000,3
0,25,49000,15
1,68,51000,13
1,45,110000,5
0,45,8000,11
1,23,66000,4
0,38,74000,3
0,32,5000,16
1,45,89000,14
0,28,7000,5
1,42,32000,17
0,28,70000,18
0,56,12000,10
1,56,120000,12
1,55,90000,18
1,68,82000,5
1,54,78000,12
1,48,112000,6
1,23,58000,8
0,51,36000,16
1,22,52000,4
0,31,13000,14
0,28,8000,11
1,40,50000,6
1,63,10000,12
1,49,114000,15
0,33,57000,5
0,49,68000,7
1,67,110000,3
1,60,92000,6
0,38,92000,17
0,28,83000,18
0,36,86000,16
0,44,45000,4
1,50,89000,16
1,48,113000,18
1,52,148000,11
0,28,18000,13
1,59,145000,17
1,57,30000,7
0,27,40000,15
0,35,68000,3
1,54,95000,6
0,40,35000,7
0,27,2000,13
0,38,57000,3
0,68,137000,2
1,64,35000,12
0,27,52000,18
0,24,28000,13
0,28,59000,10
1,65,54000,3
0,48,62000,8
1,67,134000,8
0,62,171000,8
0,38,42000,7
0,30,36000,14
0,42,77000,16
0,32,88000,13
1,62,60000,4
0,29,66000,16
0,52,9000,11
1,67,32000,17
1,61,117000,7
1,63,168000,10
0,41,42000,5
1,64,133000,11
1,50,122000,3
1,65,49000,2
0,37,99000,17
1,67,112000,13
0,33,32000,9
1,58,47000,15
0,48,47000,16
0,31,6000,16
0,51,103000,13
0,42,37000,17
0,41,42000,16
1,64,189000,7
1,68,86000,15
0,28,37000,17
1,66,48000,10
1,24,73000,7
1,55,94000,3
1,60,169000,16
0,32,91000,5
1,46,107000,17
0,47,51000,7
0,44,61000,17
0,27,24000,7
1,59,72000,5
0,43,98000,12
0,31,34000,13
0,46,10000,10
1,56,26000,9
1,60,162000,13
0,23,52000,10
0,23,28000,10
1,59,51000,3
0,32,22000,6
1,52,152000,16
1,67,70000,5
0,25,26000,12
1,62,116000,4
0,23,35000,12
0,57,163000,17
0,26,23000,4
1,54,66000,6
0,34,17000,11
0,42,37000,7
1,49,117000,11
1,57,117000,8
1,65,15000,16
1,54,116000,14
1,47,125000,13
1,48,128000,3
1,52,132000,3
0,43,4000,11
0,43,50000,5
0,41,87000,11
0,40,50000,9
1,59,147000,12
0,33,40000,7
0,29,84000,9
0,42,90000,16
1,51,116000,17
0,29,18000,11
0,24,21000,2
1,63,162000,8
1,65,7000,14
0,42,8000,18
1,22,54000,6
1,54,114000,6
1,65,27000,9
0,44,99000,3
0,31,83000,7
1,67,138000,3
0,52,13000,6
0,24,35000,14
0,34,27000,11
1,57,74000,8
1,66,90000,17
1,61,33000,14
0,24,30000,17
0,52,25000,11
0,43,70000,18
0,50,38000,7
1,51,98000,4
0,40,84000,9
1,64,33000,14
1,59,153000,3
1,52,87000,6
0,25,22000,14
1,58,97000,18
1,63,158000,13
1,53,93000,18
0,27,6000,14
0,24,56000,13
0,40,28000,13
1,43,123000,6
1,61,76000,16
0,38,28000,6
1,60,31000,6
1,63,123000,10
0,24,37000,6
1,64,36000,15
0,23,16000,13
0,24,42000,18
1,63,6000,3
1,63,64000,9
0,40,96000,8
0,34,21000,8
0,26,8000,8
1,57,117000,7
1,48,79000,13
0,36,16000,15
0,38,73000,18
0,31,82000,10
1,58,75000,3
1,68,84000,16
1,63,63000,6
1,55,133000,9
0,65,93000,9
0,39,107000,7
0,36,53000,2
0,23,17000,14
1,66,160000,10
0,29,25000,6
0,27,66000,9
0,30,43000,3
0,23,25000,14
0,41,55000,3
0,27,57000,6
0,51,20000,11
1,64,88000,12
0,32,85000,13
0,28,7000,13
1,66,127000,17
0,42,23000,5
0,36,32000,13
1,64,49000,3
1,62,177000,15
0,29,37000,17
0,46,134000,8
0,41,83000,2
0,43,117000,5
1,53,55000,6
0,28,83000,17
1,60,71000,7
1,60,164000,6
0,34,60000,7
0,36,84000,18
0,30,18000,10
1,51,85000,6
0,27,54000,13
1,66,144000,16
0,49,2000,12
1,61,96000,7
0,43,105000,6
1,65,184000,4
1,54,66000,4
0,54,160000,4
1,64,175000,7
1,60,126000,5
0,40,48000,15
0,33,77000,4
0,38,107000,3
0,33,92000,6
1,50,115000,13
1,51,98000,15
1,64,170000,5
0,44,37000,11
1,63,89000,12
0,27,56000,17
0,22,37000,7
0,24,13000,10
0,40,15000,10
1,65,35000,8
0,43,102000,7
0,28,17000,3
1,64,4000,5
0,44,93000,4
0,35,63000,6
1,66,193000,14
0,48,55000,2
1,61,41000,15
0,29,28000,13
1,61,27000,14
0,27,60000,15
0,38,61000,11
0,47,44000,15
1,64,142000,8
0,26,65000,12
0,32,27000,15
0,25,33000,17
1,51,84000,14
0,32,72000,9
0,41,113000,7
1,54,67000,8
1,54,82000,13
0,29,47000,10
0,23,44000,7
0,29,7000,9
1,51,129000,10
0,38,74000,11
0,28,68000,4
1,24,73000,11
1,47,133000,6
1,51,104000,15
1,56,51000,8
1,22,56000,7
0,27,44000,8
0,33,97000,7
1,47,92000,18
0,25,59000,10
0,33,100000,17
0,33,98000,6
0,48,29000,18
1,63,150000,6
1,66,147000,14
0,37,69000,11
0,55,2000,5
0,29,28000,7
1,64,72000,4
0,48,21000,4
0,39,108000,11
0,33,45000,18
0,60,119000,14
1,61,93000,15
0,40,121000,13
1,47,111000,2
1,65,133000,6
0,31,71000,14
0,49,13000,17
0,52,17000,13
1,67,32000,9
0,21,7000,6
1,64,120000,2
1,55,117000,12
0,26,70000,6
0,49,50000,3
0,25,14000,16
0,36,32000,18
0,37,43000,11
1,21,62000,5
1,50,148000,8
1,50,66000,16
0,29,63000,13
0,35,10000,16
0,28,2000,11
0,50,43000,9
0,41,44000,3
1,47,86000,14
0,42,100000,18
0,50,35000,13
0,43,59000,18
0,31,88000,12
1,59,41000,9
1,51,131000,18
0,49,60000,15
0,34,51000,16
0,32,4000,4
0,46,81000,12
0,45,83000,8
0,31,72000,2
0,44,49000,4
1,46,111000,17
1,21,47000,10
1,67,35000,15
0,22,44000,13
1,22,63000,15
0,63,56000,17
0,50,123000,11
0,36,19000,10
1,58,66000,16
0,40,4000,8
1,64,80000,6
0,29,55000,9
1,65,178000,13
0,44,112000,12
0,23,53000,4
0,28,3000,3
0,62,177000,10
0,51,6000,13
0,44,53000,11
0,33,49000,6
0,55,13000,7
1,60,17000,9
0,24,39000,12
1,49,122000,7
0,40,104000,15
0,25,20000,15
0,41,104000,18
1,23,68000,4
0,54,75000,15
0,60,133000,3
0,44,93000,14
1,56,125000,12
0,21,28000,8
0,50,55000,6
1,64,91000,17
0,47,84000,16
0,33,75000,2
1,22,56000,6
1,63,99000,8
0,39,97000,3
1,63,105000,12
0,28,20000,3
1,65,115000,8
0,49,41000,17
0,30,30000,6
1,52,46000,9
1,54,85000,11
1,61,74000,10
0,39,72000,16
1,52,72000,6
1,64,175000,14
1,62,68000,12
1,55,43000,17
0,32,16000,12
0,41,60000,15
0,51,31000,8
0,23,23000,7
0,36,25000,11
0,36,46000,2
0,47,76000,16
0,42,43000,16
0,34,61000,5
0,44,38000,9
1,50,151000,13
0,32,22000,5
0,39,4000,11
1,66,159000,5
0,36,85000,3
1,58,159000,15
0,45,70000,14
0,36,67000,10
1,67,52000,6
1,65,157000,7
1,56,138000,4
0,24,5000,2
0,26,74000,2
0,56,22000,12
0,61,62000,3
1,57,71000,7
0,24,33000,3
0,31,5000,14
0,32,6000,18
0,35,82000,3
0,33,74000,9
1,64,92000,7
1,24,67000,18
0,43,12000,4
0,27,37000,15
0,54,2000,11
0,41,39000,10
0,37,45000,14
0,27,60000,7
1,24,71000,17
0,57,14000,14
0,31,19000,7
1,57,78000,13
1,45,136000,6
1,60,89000,4
0,38,108000,10
1,52,69000,3
0,42,107000,13
0,30,78000,8
0,51,38000,9
1,57,32000,14
1,57,78000,11
1,59,61000,14
0,35,103000,16
0,30,28000,6
1,59,55000,12
1,55,145000,17
0,62,71000,17
0,44,11000,11
0,46,120000,7
1,64,111000,17
1,68,172000,4
1,60,71000,7
0,39,77000,11
0,45,50000,10
1,52,93000,15
1,56,61000,8
0,26,3000,11
0,43,5000,5
0,30,51000,10
1,62,52000,6
0,46,87000,8
1,51,130000,10
0,32,60000,3
1,23,61000,16
1,63,133000,14
0,24,17000,8
1,61,119000,18
0,63,156000,17
1,59,122000,14
0,23,3000,13
1,68,53000,18
0,33,60000,8
1,21,45000,12
1,55,161000,16
0,27,13000,11
0,48,24000,5
1,52,120000,10
0,25,43000,17
0,35,5000,16
0,32,29000,5
0,48,52000,3
0,37,56000,7
0,58,142000,12
0,50,140000,5
0,24,31000,6
1,54,78000,4
0,54,21000,14
1,67,47000,14
0,39,33000,14
1,60,115000,12
1,67,78000,14
1,51,96000,11
1,64,172000,8
0,47,47000,13
0,36,79000,13
0,32,70000,8
1,65,27000,18
1,52,93000,8
1,21,58000,5
0,43,13000,2
1,24,67000,12
1,61,30000,10
1,54,84000,3
0,43,82000,16
0,42,91000,8
0,51,18000,3
