Player,Name,Position,Age,Height,Weight,Salary,Season,Postseason,Team,Games_played,Games_started,Minutes,FG_made,FG_attempted,FG_percent,3P_made,3P_attempted,3P_percent,FT_made,FT_attempted,FT_percent,Rebound_off,Rebound_def,Assists,Blocks,Steals,Fouls,Turnovers,Points
25,Metta World Peace,SF,36,79,260,947276,'99-'00,FALSE,CHI,72,63,31.1,4.3,10.5,0.407,0.8,2.7,0.314,2.6,3.9,0.674,0.9,3.4,2.8,0.5,1.7,2.2,2.3,12
25,Metta World Peace,SF,36,79,260,947276,'00-'01,FALSE,CHI,76,74,31.1,4.3,10.7,0.401,0.6,1.9,0.291,2.8,3.7,0.75,0.8,3.1,3,0.6,2,3.3,2.1,11.9
25,Metta World Peace,SF,36,79,260,947276,'01-'02,FALSE,CHI,27,26,30.5,5.6,13,0.433,1.3,3.4,0.396,3,4.8,0.628,1.5,3.4,2.9,0.9,2.8,4,2.6,15.6
25,Metta World Peace,SF,36,79,260,947276,'01-'02,FALSE,IND,28,24,29.3,4.2,10.2,0.411,0.6,2.8,0.215,2,2.7,0.733,1.2,3.8,1.8,0.6,2.4,3.9,1.8,10.9
25,Metta World Peace,SF,36,79,260,947276,'02-'03,FALSE,IND,69,67,33.6,5.2,12.3,0.428,1,3.1,0.336,4,5.4,0.736,1.5,3.8,2.9,0.7,2.3,3.5,2.1,15.5
25,Metta World Peace,SF,36,79,260,947276,'03-'04,FALSE,IND,73,71,37.2,6.4,15.2,0.421,1,3.3,0.31,4.4,6,0.733,1.4,3.9,3.7,0.7,2.1,2.7,2.8,18.3
25,Metta World Peace,SF,36,79,260,947276,'04-'05,FALSE,IND,7,7,41.6,8.4,17,0.496,1,2.4,0.412,6.7,7.3,0.922,1.1,5.3,3.1,0.9,1.7,3.9,2.4,24.6
25,Metta World Peace,SF,36,79,260,947276,'05-'06,FALSE,IND,16,16,37.7,6.8,14.8,0.46,1.1,3.4,0.333,4.6,7.6,0.612,1.6,3.3,2.2,0.7,2.6,2.8,2.7,19.4
25,Metta World Peace,SF,36,79,260,947276,'05-'06,FALSE,SAC,40,40,40.1,6,15.8,0.383,1.5,5,0.302,3.3,4.6,0.717,1.2,4,4.2,0.8,2,3,2.2,16.9
25,Metta World Peace,SF,36,79,260,947276,'06-'07,FALSE,SAC,70,65,37.7,6.5,14.9,0.44,1.3,3.7,0.358,4.4,5.9,0.74,1.5,5,3.4,0.6,2.1,2.9,2.1,18.8
