Year,Quarter,Revenue
2010,1,15683
2010,2,13499
2010,3,15700
2010,4,20343
2011,1,26741
2011,2,24667
2011,3,28571
2011,4,28270
2012,1,46333
2012,2,39186
2012,3,35023
2012,4,35966
2013,1,54512
2013,2,43603
2013,3,35323
2013,4,37472
2014,1,57594
2014,2,45646
2014,3,37432
2014,4,42123
2015,1,74599
2015,2,58010
2015,3,49605
2015,4,51501
2016,1,75872
2016,2,50557
2016,3,42358
2016,4,46852
2017,1,78351
2017,2,52896
2017,3,45408
2017,4,52579
2018,1,88293
2018,2,61137
2018,3,53265
2018,4,62900
2019,1,84310
2019 ,2,58015
2019,3,53809
2019,4,64040
2020,1,91819
2020,2,58313
2020,3,59685
2020,4,64698
