Salary,Experience
96413,26
85859,20
38851,4
30846,3
43078,25
79588,13
138118,30
122792,28
66903,12
53097,5
46146,5
33339,1
110998,28
129450,23
83950,21
146507,28
159054,25
221086,30
13305,22
30867,16
54868,9
59593,23
189092,23
47257,13
35044,3
60304,11
82525,17
161507,28
39462,18
121539,29
40294,7
67330,9
190576,27
36302,4
60434,27
39094,6
182040,31
73364,24
71574,8
138535,28
154516,29
119593,17
56739,7
57548,5
43870,7
54114,5
49294,4
64595,18
177140,25
35247,1
44405,8
59311,5
173443,24
99914,19
166536,24
120130,26
85867,26
84079,13
94254,13
37544,3
91901,13
117637,16
37786,2
37283,17
64666,14
96177,11
83404,9
48572,16
66464,13
58649,27
77270,7
115857,22
38464,5
68606,10
29609,1
63571,10
32656,2
48781,5
105573,15
39719,13
142045,22
45753,11
116719,27
105891,18
36154,2
79076,19
99978,18
50612,6
163812,23
88833,30
108818,30
162097,25
56459,7
80777,26
50960,10
36004,11
68959,20
124838,16
127534,24
76457,12
